capacity,vehicles_available,capacity_free,hour,temp,hum,percp,wspeed
20,3,17,19,18.5,72.0,0.0,6.3
20,6,14,20,16.8,80.0,0.0,5.6
20,6,14,21,16.1,80.0,0.0,5.2
20,7,13,22,15.1,83.0,0.0,7.0
20,5,15,23,14.8,84.0,0.0,7.2
20,6,14,0,14.2,86.0,0.0,6.8
20,6,14,1,13.6,87.0,0.0,7.6
20,6,14,3,12.3,91.0,0.0,6.6
20,6,14,4,12.0,92.0,0.0,6.6
20,6,14,5,13.6,91.0,0.0,7.4
20,4,16,6,17.3,77.0,0.0,6.5
20,1,19,7,19.1,64.0,0.0,9.3
20,7,13,8,20.4,54.0,0.0,11.8
20,13,7,9,21.0,50.0,0.0,12.2
20,10,10,10,21.6,47.0,0.0,10.2
20,9,11,11,22.1,45.0,0.1,10.7
20,5,15,12,22.1,45.0,0.0,12.6
20,3,17,13,22.5,44.0,0.0,13.0
20,2,18,14,22.7,43.0,0.0,11.9
20,3,17,15,22.2,45.0,0.0,12.9
20,7,13,16,21.9,47.0,0.0,12.3
20,4,16,17,21.3,53.0,0.0,8.8
20,1,19,18,20.2,58.0,0.0,5.9
20,2,18,19,18.5,70.0,0.0,5.4
20,2,18,20,17.3,72.0,0.0,5.4
20,0,20,21,15.8,76.0,0.0,6.1
20,2,18,22,14.8,79.0,0.0,7.2
20,3,17,23,14.0,81.0,0.0,6.8
20,2,18,0,13.4,83.0,0.0,4.1
20,4,16,1,13.1,82.0,0.0,5.1
20,4,16,3,12.4,81.0,0.0,7.1
20,4,16,4,12.1,83.0,0.0,8.6
20,4,16,5,13.7,84.0,0.0,10.0
20,2,18,6,17.1,68.0,0.0,9.0
20,6,14,7,18.8,57.0,0.0,10.2
20,10,10,8,20.1,51.0,0.0,11.4
20,7,13,9,21.4,46.0,0.0,11.9
20,1,19,10,22.2,42.0,0.0,10.9
20,0,20,11,22.5,41.0,0.0,12.7
20,0,20,12,22.4,40.0,0.0,13.0
20,0,20,13,22.6,39.0,0.0,13.8
20,0,20,14,22.3,40.0,0.1,15.3
20,1,19,15,22.0,42.0,0.1,16.4
20,8,12,16,21.5,44.0,0.0,13.5
20,0,20,17,20.7,50.0,0.0,11.3
20,3,17,18,19.5,54.0,0.0,10.5
20,0,20,19,18.5,56.0,0.0,9.7
20,0,20,20,17.7,58.0,0.0,10.3
20,0,20,21,16.9,59.0,0.0,10.6
20,1,19,22,16.4,60.0,0.0,12.6
20,2,18,23,15.8,62.0,0.1,14.2
20,1,19,0,15.1,65.0,0.0,12.5
20,4,16,1,14.5,67.0,0.0,10.6
20,4,16,3,13.9,69.0,0.0,11.7
20,2,18,4,13.6,72.0,0.3,11.3
20,2,18,5,13.9,76.0,1.2,10.5
20,2,18,6,14.9,73.0,1.4,9.8
20,3,17,7,16.3,64.0,1.3,9.5
20,9,11,8,16.9,66.0,1.5,10.0
20,9,11,9,17.2,70.0,0.9,9.8
20,8,12,10,17.5,72.0,1.4,9.3
20,8,12,11,18.3,71.0,0.7,8.9
20,13,7,12,18.5,71.0,0.8,9.0
20,10,10,13,19.0,71.0,0.4,11.3
20,0,20,14,19.7,68.0,0.2,11.1
20,0,20,15,20.3,64.0,0.1,9.3
20,1,19,16,20.3,64.0,0.0,8.2
20,1,19,17,20.0,67.0,0.0,8.2
20,2,18,18,19.2,71.0,0.0,5.1
20,1,19,19,19.8,63.0,0.0,4.1
20,1,19,20,17.8,76.0,0.0,4.3
20,1,19,21,16.6,78.0,0.0,5.6
20,3,17,22,16.1,78.0,0.0,5.6
20,1,19,23,14.9,84.0,0.0,5.5
20,1,19,0,14.3,86.0,0.0,5.1
20,1,19,1,14.0,86.0,0.0,5.0
20,1,19,3,12.9,89.0,0.0,5.0
20,1,19,5,14.2,90.0,0.0,4.7
20,1,19,6,17.6,77.0,0.0,3.7
20,5,15,7,19.7,67.0,0.0,5.4
20,8,12,8,20.9,59.0,0.0,6.4
20,8,12,9,21.6,55.0,0.0,6.2
20,4,16,10,22.6,53.0,0.0,5.0
20,0,19,11,23.4,52.0,0.0,6.5
20,0,19,12,24.0,50.0,0.0,6.9
20,0,19,13,24.3,49.0,0.0,6.2
20,1,18,14,24.3,49.0,0.0,6.8
20,0,19,15,24.2,49.0,0.0,7.3
20,5,15,16,23.7,50.0,0.1,7.7
20,2,18,17,22.6,59.0,0.0,6.1
20,1,19,18,21.3,66.0,0.0,4.0
20,1,19,19,20.5,69.0,0.0,5.2
20,2,18,20,19.6,70.0,0.0,5.5
20,3,17,21,18.2,76.0,0.0,5.9
20,7,13,22,17.2,81.0,0.0,3.3
20,17,3,23,16.1,87.0,0.0,4.7
20,17,3,0,15.4,89.0,0.0,4.2
20,17,3,1,14.4,93.0,0.0,5.0
20,17,3,3,13.2,96.0,0.0,3.6
20,17,3,4,13.2,96.0,0.0,3.3
20,17,3,5,14.8,94.0,0.0,4.7
20,18,2,6,18.6,82.0,0.0,3.8
20,18,2,7,20.5,69.0,0.0,4.1
20,20,0,8,22.1,62.0,0.0,2.3
20,20,0,9,23.2,57.0,0.0,0.7
20,15,5,10,24.1,53.0,0.0,1.8
20,12,8,11,24.7,49.0,0.0,2.9
20,4,16,12,25.1,46.0,0.0,5.5
20,0,20,13,25.5,44.0,0.0,7.6
20,1,19,14,25.5,42.0,0.0,13.0
20,0,20,15,24.5,46.0,0.0,10.7
20,2,18,16,22.4,59.0,0.1,8.9
20,7,13,17,21.1,68.0,0.0,6.4
20,1,19,18,20.3,74.0,0.0,4.7
20,0,20,19,19.1,82.0,0.5,7.3
20,0,20,21,17.0,87.0,0.0,7.4
20,0,20,22,16.7,86.0,0.0,8.3
20,2,18,23,16.2,85.0,0.0,12.2
20,3,17,0,15.8,83.0,0.0,13.0
20,3,17,1,15.1,80.0,0.0,12.7
20,2,18,3,13.4,81.0,0.0,12.0
20,0,20,4,13.3,79.0,0.0,12.9
20,0,20,5,14.4,71.0,0.0,13.2
20,0,20,6,14.9,66.0,0.0,14.8
20,0,20,7,15.5,68.0,0.3,13.0
20,4,16,8,16.3,64.0,0.4,12.3
20,4,16,9,17.1,60.0,0.4,11.2
20,1,19,10,18.1,55.0,0.1,8.4
20,0,20,11,18.8,53.0,0.0,8.2
20,0,19,12,19.2,52.0,0.0,7.7
20,0,19,13,19.5,52.0,0.0,7.1
20,0,19,14,19.6,52.0,0.0,6.0
20,0,19,15,19.7,52.0,0.0,6.9
20,0,19,16,19.4,53.0,0.0,6.5
20,0,19,17,19.1,55.0,0.0,4.8
20,0,19,18,18.5,63.0,0.0,3.0
20,0,19,19,17.0,76.0,0.0,2.5
